"obsid","xid","dist_pc","filter","wave","model_jy","star_jy","chi_star","ra_obs","de_obs"
1342265578,"HD 135517",105.05746643413949,"PACS70","70",0.00695754,0.00302673,3.57809,228.49638907984522,43.048247967957835
1342269733,"HD 192544",81.61866129071751,"PACS70","70",0.0417182,0.00171223,23.267,304.01168339010314,-16.295867333331525
1342269735,"HD 182678",110.78736580880316,"PACS70","70",0.00217201,0.00217201,2.25945,291.60255657140414,-14.551238115555618
1342269745,"HD 166636",113.26695889542063,"PACS70","70",0.018267,0.00165422,12.3549,273.4478625944722,-46.312785567409215
1342269747,"HD 174474",74.57566446917042,"PACS70","70",0.0108647,0.00350932,5.17171,283.2596827312999,-48.361203910375565
1342269751,"HD 184327",106.03329445445871,"PACS70","70",0.0213019,0.00183455,15.6153,294.62169985115594,-65.91420929592671
1342269805,"* 50 Dra",82.06003512169504,"PACS70","70",0.0064007,0.0064007,1.30763,281.59242665228993,75.43421645184372
1342269807,"* 55 Dra",103.76457892333873,"PACS70","70",0.0240428,0.00257671,14.2027,287.4408880124642,65.97862286481318
1342243794,"TYC 8354-785-1",16.034634811192173,"PACS100","100",0.00251732,0.00251732,-1.4112,262.54525573945494,-51.637615374175866
1342252819,"2MASS J16580884+2544392",10.382695783898724,"PACS100","100",0.0217267,0.00370862,7.55941,254.53641711576816,25.742348116921644
1342246904,"HD 10009",41.58332674930659,"PACS70","70",0.00881564,0.00881564,-0.668782,24.40805646623766,-9.403506513878293
1342248103,"HD 11803",39.88831272437176,"PACS70","70",0.0121538,0.0121538,-0.699313,28.974615189884677,1.850470324063407
1342252013,"HD 158614",16.342539630658607,"PACS70","70",0.0290972,0.0290972,-0.44541,262.5986985452354,-1.0635144434281016
1342252821,"HD 163840",32.46373800464881,"PACS70","70",0.0104843,0.0104843,0.824921,269.30963589237416,23.996120706847282
1342252823,"HD 165590",32.57902041401419,"PACS70","70",0.00650127,0.00650127,1.0026,271.45699288579266,21.44575814018225
1342252835,"* gam CrA",17.304031839418585,"PACS70","70",0.0570758,0.0570758,1.56285,286.60505776241035,-37.06444594395102
1342252982,"HD 189340",21.307060307503495,"PACS70","70",0.0139369,0.0139369,0.350425,299.94612253367603,-9.959674841244947
1342257521,"* mu.02 Boo",36.062026685899745,"PACS70","70",0.00742945,0.00742945,-2.19514,231.12797652628737,37.3476055199956
1342257537,"HD 127726",73.63770250368188,"PACS70","70",0.00567637,0.00567637,-0.49788,218.08401184944282,26.677180267224756
1342258595,"HD 136176",35.98416696653472,"PACS70","70",0.00721646,0.00721646,0.602579,229.58477245994283,26.840625419981066
1342248066,"2MASS J11362446-0019127",,"PACS100","100",0.0193947,0.00000187685,12.6137,174.10194811029206,-0.32022439352266663
1342248070,"2MASS J11391288+0007370",3782.1482602118,"PACS100","100",0.0359082,0.0000025601,24.6094,174.8036629300668,0.12695991122678185
1342249706,"2MASS J14215184-0156350",,"PACS100","100",0.0220416,0.00000156648,11.1228,215.4659217438411,-1.9430218805346133
1342249744,"2MASS J14042758+0147556",,"PACS100","100",0.0156262,0.00000111116,12.6711,211.11489051223933,1.7987444448080234
1342249768,"2MASS J14110424+0236133",,"PACS100","100",0.0867525,0.00000120815,34.6843,212.76765393294625,2.6036784959896564
1342249770,"2MASS J14113916+0212152",,"PACS100","100",0.00889331,0.00000420499,6.09133,212.9131732429132,2.2042498163781183
1342249772,"2MASS J14132384+0219085",,"PACS100","100",0.0521467,0.000000665923,28.1654,213.34934589723164,2.3190410823536256
1342249913,"2MASS J14421781+0049001",,"PACS100","100",0.010985,0.00000399083,9.60314,220.57423132246595,0.8167018900679843
1342249919,"2MASS J14380349+0054430",,"PACS100","100",0.00951384,0.00000308555,7.61105,219.5145472414605,0.9119519874703584
1342249921,"2MASS J14363626+0137290",,"PACS100","100",0.00269609,0.00000174956,3.30186,219.15112946414365,1.6247535577941368
1342249923,"2MASS J14411389+0158043",,"PACS100","100",0.0177373,0.00000369458,10.6983,220.30791529260208,1.9678807525339326
1342249934,"2MASS J14492650+0015018",,"PACS100","100",0.0766999,0.00000390817,29.4327,222.360387422307,0.25049819985069804
1342249964,"2MASS J14525983+0020245",,"PACS100","100",0.0168198,0.0000125037,11.3077,223.2492542751867,0.3400728900981606
1342249966,"2MASS J14514339+0219069",,"PACS100","100",0.0206228,0.00000284714,12.7885,222.93081792398416,2.318506475590815
1342253496,"2MASS J09031870+0141336",,"PACS100","100",0.0179289,0.0000128141,14.8158,135.82793838545047,1.6926674085513604
1342253498,"2MASS J08494966+0112065",,"PACS100","100",0.00000245082,0.00000245082,2.89422,132.45689237998644,1.201794950801985
1342254587,"2MASS J08331321+0058125",,"PACS100","100",0.0322911,0.00000123808,20.5381,128.3050684188323,0.9701177852832726
1342257085,"2MASS J11580539-0128513",,"PACS100","100",0.0627553,0.000000838722,30.6275,179.5224350597583,-1.480915922612396
1342257095,"2MASS J11513642-0136491",,"PACS100","100",0.0371426,0.0000243127,22.1583,177.90174662352004,-1.6138671412707215
1342257105,"2MASS J11432179-0051544",,"PACS100","100",0.0000033809,0.000000223055,4.45154,175.84094588968017,-0.8651346627518174
1342257107,"2MASS J11401922-0037288",,"PACS100","100",0.103127,0.000000823135,37.0078,175.08006665682376,-0.6246603070381095
1342257461,"2MASS J11534444+0129230",,"PACS100","100",0.0108872,0.00000102099,8.31376,178.43511740813747,1.4896926201965657
1342205976,"EM* AS 220",236.96682464454977,"PACS70","70",0.577363,0.000422364,38.6354,257.53385660026464,-27.255284921064906
1342205978,"EM* AS 220",236.96682464454977,"PACS100","100",0.300785,0.000208743,39.5463,257.53385660026464,-27.255284921064906
1342215510,"HD 147220",158.87895012789755,"PACS70","70",0.000934442,0.000934442,-0.00231967,245.33804297177713,-22.109014521877242
